id,importe,descripcion,iban,fechaImporte
1,-420.09,hipoteca,BBVA,01/09/2023
2,1259.56,Abono de nomina,BBVA,01/09/2023
3,-30.00,ocio rerserva refugio Alquezar,BBVA,01/09/2023
4,-2.06,Farmacia,BBVA,01/09/2023
5,-3.40,Transporte ffcc,BBVA,01/09/2023
6,-14.63,educacion-curso patrones de diseño,BBVA,01/09/2023
7,-11.20,ocio-restaurante,BBVA,01/09/2023
8,-2.40,Transporte-renfe,BBVA,01/09/2023
9,-6.00,ocio-restaurante,BBVA,01/09/2023
10,-16.29,Alimentacion,BBVA,01/09/2023
11,-3.25,Farmacia,BBVA,02/09/2023
12,-33.85,Alimentacion,BBVA,02/09/2023
13,-5.00,Alimentacion,BBVA,03/09/2023
14,-1.45,trabajo-cafe,BBVA,04/09/2023
15,-5.05,trabajo-desayuno,BBVA,04/09/2023
16,-99.53,Impuestos-IBI,BBVA,04/09/2023
17,-8.29,Alimentacion,BBVA,04/09/2023
18,-25.20,Seguro BBVA,BBVA,05/09/2023
19,-80.63,Gastos Piso-derrama,BBVA,05/09/2023
20,-31.00,ONG,BBVA,05/09/2023
21,-2.85,trabajo-cafe,BBVA,05/09/2023
22,-5.45,trabajo-desayuno,BBVA,05/09/2023
23,-12.00,ocio-magnesio,BBVA,05/09/2023
24,-1.40,Alimentacion,BBVA,05/09/2023
25,6.00,Pago anulado,BBVA,05/09/2023
26,-2.85,trabajo-cafe,BBVA,06/09/2023
27,-2.00,trabajo-desayuno,BBVA,06/09/2023
28,-1.45,cafe,BBVA,06/09/2023
29,-20.00,Transporte-targerta Tusual,BBVA,07/09/2023
30,-2.85,trabajo-cafe,BBVA,07/09/2023
31,-1.64,trabajo-desayuno,BBVA,07/09/2023
32,-12.94,Alimentacion,BBVA,07/09/2023
33,-1.40,trabajo-desayuno,BBVA,07/09/2023
34,-2.85,cafe-trabajo,BBVA,08/09/2023
35,-1.64,trabajo-desayuno,BBVA,08/09/2023
36,-66.40,ocio-salida fin de semana,BBVA,11/09/2023
37,-83.16,Internet-movil,BBVA,12/09/2023
38,-1.60,trabajo-cafe,BBVA,12/09/2023
